baker_first_name,baker_last_name,series,episode,baker_age,baker_occupation,hometown,signature_bake,show_stopper,technical,result
Annetha,Mills,1,1,30,Midwife,Essex,Light Jamaican Black Cake with Strawberries and Cream,"Red, White & Blue Chocolate Cake with Cigarellos, Fresh Fruit, and Cream",2,IN
David,Chambers,1,1,31,Entrepreneur,Milton Keynes,Chocolate Orange Cake,"Black Forest Floor Gateaux with Moulded Chocolate Leaves, Fallen Fruitand Chocolate Mushrooms Moulded from eggs",3,IN
Edd,Kimber,1,1,24,Debt collector for Yorkshire Bank,Bradford,Caramel Cinnamon and Banana Cake,NA,1,IN
Jasminder,Randhawa,1,1,45,Assistant Credit Control Manager,Birmingham,Fresh Mango and Passion Fruit Hummingbird Cake,NA,NA,IN
Jonathan,Shepherd,1,1,25,Research Analyst,St Albans,Carrot Cake with Lime and Cream Cheese Icing,Three Tiered White and Dark Chocolate with Almond and Cherry,9,IN
Lea,Harris,1,1,51,Retired,"Midlothian, Scotland",Cranberry and Pistachio Cake with Orange Flower Water Icing,Raspberries and Cream filled Chocolate with Chocolate-dipped Fresh Fruit,10,OUT
Louise,Brimelow,1,1,44,Police Officer,Manchester,Carrot and Orange Cake,"Never Fail Chocolate Sponge Cake,with Fresh Fruit, White & Chocolate Cigarello Border",NA,IN
Mark,Whithers,1,1,48,Bus Driver,South Wales,Sticky Marmalade Tea Loaf,Heart-shaped Chocolate and Beetroot Cake with Store-Bought silver chocolate hearts and chocolate red and white roses.,NA,OUT
Miranda,Browne,1,1,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",Triple Layered Brownie Meringue Cake with Raspberry Cream,Three Tiered Chocolate Fudge Cake with Handmade Chocolate Button Decorations,8,IN
Ruth,Clemens,1,1,31,Retail manager/Housewife,"Poynton, Cheshire",Three Tiered Lemon Drizzle Cake with Fresh Cream and freshly made Lemon Curd,Classic Chocolate Sponge wrapped in a Chocolate Collartopped with Handmade White and Dark Chocolate Truffles,NA,IN
Annetha,Mills,1,2,30,Midwife,Essex,Rose Petal Shortbread,Pink Swirl Macarons / Eclairs,7,OUT
David,Chambers,1,2,31,Entrepreneur,Milton Keynes,Cheddar Cheese and Fresh Rosemary Biscuits,Choux Pastry Swans Chocolate Profiteroles,8,IN
Edd,Kimber,1,2,24,Debt collector for Yorkshire Bank,Bradford,Oatmeal Raisin Cookie,Pink Macarons,6,IN
Jasminder,Randhawa,1,2,45,Assistant Credit Control Manager,Birmingham,Millionaires' Shortbread,Meringues with Chocolate and Space Dust Coffee flavoured Eclairs,2,IN
Jonathan,Shepherd,1,2,25,Research Analyst,St Albans,Honey and Candied Ginger Cookies,Meringues with Whiskey Cream,1,IN
Louise,Brimelow,1,2,44,Police Officer,Manchester,Stained Glass Window Shortbread,"Strawberry, Mint, and Cream Meringues Chocolate Eclairs / Orange, Yellow and Pink Macarons",4,OUT
Miranda,Browne,1,2,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",Fresh Vanilla Biscuits with Royal Icing,Pistachio Macarons,3,IN
Ruth,Clemens,1,2,31,Retail manager/Housewife,"Poynton, Cheshire",Peanut Shortbread with Salted Peanut Caramel,Almond Macaron with Violet Buttercream Raspberries and Cream Eclairs,5,IN
David,Chambers,1,3,31,Entrepreneur,Milton Keynes,Chilli Bread,Walnut and Seed Roll Red Berry and Almond Bun,4,IN
Edd,Kimber,1,3,24,Debt collector for Yorkshire Bank,Bradford,Olive Bread,Tomato and Mozzarella,1,IN
Jasminder,Randhawa,1,3,45,Assistant Credit Control Manager,Birmingham,Focaccia,Mango and Sultana Buns Pan au Chocolat with Mars Bars Tutti Frutti Wheel with Jelly Tots,5,IN
Jonathan,Shepherd,1,3,25,Research Analyst,St Albans,"Anchovy, Sweet Paprika and Oregano Bread","Sticky Lemon Honey Bun Olive and Anchovy Roll Sundried Tomatoes and Fresh Herbs Roll Stilton, Walnut and Apple Roll Cinnamon and Cardamom Chelsea Bun",6,OUT
Miranda,Browne,1,3,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",Walnut and Apricot Bread,Lemon Iced Buns Chocolate and Orange Buns,3,IN
Ruth,Clemens,1,3,31,Retail manager/Housewife,"Poynton, Cheshire",Maple and Pecan Bread,Chocolate and Orange Panettone Cranberry Bagels,2,IN
David,Chambers,1,4,31,Entrepreneur,Milton Keynes,Pear and Walnut Pudding,"Apple and Blackberry Crumble, Rhubarb and Orange Betty, Suet Pear",5,OUT
Edd,Kimber,1,4,24,Debt collector for Yorkshire Bank,Bradford,Apple and Plum Pudding,"Apple and Cinnamon Crumble, Nutella Banana Brioche Bread Pudding, Rhubarb and Strawberry Suet Layer",3,IN
Jasminder,Randhawa,1,4,45,Assistant Credit Control Manager,Birmingham,Sticky Toffee Pudding with Tropical Fruit & Toffee Sauce,"Bread & Butter Pudding, Treacle Suet Pudding with Fresh Fruit, Apple and Pineapple Crumble",2,IN
Miranda,Browne,1,4,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",Sticky Toffee Pudding,"Queen of Puddings, Chocolate Pear Roly Poly, Strawberry and Rhubarb Crumble",1,IN
Ruth,Clemens,1,4,31,Retail manager/Housewife,"Poynton, Cheshire",Peach and Blueberry Boy Bait,"Apple & Ginger Crumble, Rhubarb Suet Crust, Cherry Queen of Puddings",4,IN
Edd,Kimber,1,5,24,Debt collector for Yorkshire Bank,Bradford,"Chicken, Ham, Leek and Tarragon Pie","Almond Sweet Pastry with Ginger and Chocolate Raspberry Tart / Yorkshire Curd Tart Chickpea and Salami, Red and Yellow Pepper, Asparagus Gruyere Quiche Canapés",2,IN
Jasminder,Randhawa,1,5,45,Assistant Credit Control Manager,Birmingham,Chicken and Mushroom Pie,"Jaggery, Carrot, and Spiced Condensed Milk Tart Fruit and Custard Tart Thai Chili Red Onion, Duck in Plum Sauce, Salmon and Prawn Canapés",4,OUT
Miranda,Browne,1,5,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex","Summery Salmon, Cod and Prawn Fish Pie","Chocolate Pastry filled with Orange Cheesecake Chocolate Pastry filled with Milk Chocolate Ganche Strawberry Tart with Red Currant Glaze Cheesy Crab, Broad Bean and Tomato, Pancetta Risotto Canapés",1,IN
Ruth,Clemens,1,5,31,Retail manager/Housewife,"Poynton, Cheshire",Minced Beef Pie,"Raspberry and Dark Chocolate Tart Creme Patisserie and Cherry Tart Citrus Curd Tart with Creme Brulee top Tomato, Asparagus Twirl Canapés",3,IN
Edd,Kimber,1,6,24,Debt collector for Yorkshire Bank,Bradford,Cinnamon and Banana Cake,NA,NA,WINNER
Miranda,Browne,1,6,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",Lemon Cupcake,Eliminated after signature,NA,Runner-up
Ruth,Clemens,1,6,31,Retail manager/Housewife,"Poynton, Cheshire","Mint, Ginger and Blackberry Cake",NA,NA,Runner-up
Ben,Frazer,2,1,31,Graphic Designer,Northampton,Rhubarb and Custard Cupcakes After Dinner Cupcakes,Vanilla Sponge with White Chocolate and Raspberry Buttercream,2,IN
Holly,Bell,2,1,31,Advertising executive,Leicester,Cherry Bakewell Inspired Cupcakes Ginger Cupcakes with Fig Truffle,NA,1,STAR BAKER
Ian,Vallance,2,1,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",Apple and Cinnamon Cupcakes,NA,10,IN
Janet,Basu,2,1,63,Teacher of Modern Languages,"Formby, Liverpool",Raspberry and Cream Cupcakes,Chocolate Marble Cake with Dark and White Chocolate Truffles,8,IN
Jason,White,2,1,19,Civil Engineering Student,Croydon,Lemon Meringue Cupcakes Apple and Cinnamon Cupcakes,NA,6,IN
Joanne,Wheatley,2,1,41,Housewife,"Ongar, Essex",Chocolate Orange Cupcakes Orange and Cardamom Cupcakes,Chocolate and Strawberry Cake,11,IN
Keith,Batsford,2,1,31,House husband,"Arlesey, Bedfordshire",Earl Grey Cupcakes,Chocolate and Sour Cream Cake,12,OUT
Mary-Anne,Boermans,2,1,45,Housewife,"Kidderminster, Worcestershire",Banoffee Cupcakes,Chocolate and Raspberry Opera cake,4,IN
Robert,Billington,2,1,25,Photographer,London,Blackberry and Vanilla Cupcakes with Liquorice Frosting,Genoise Layered Mousse Cake with Chocolate Ganache,3,IN
Simon,Blackwell,2,1,31,Rugby Coach,Norfolk,Guinness and Chocolate Cupcakes,Two-Tiered Chocolate Courgette Cake,9,IN
Urvashi,Roe,2,1,40,Head of Marketing,"Enfield, London",Cherry Blossom Cupcakes Japanese Lime Cupcakes,NA,7,IN
Yasmin,Limbert,2,1,43,Childminder,"West Kirby, The Wirral",Cardamom and Pomegranate Cupcakes,NA,5,IN
Ben,Frazer,2,2,31,Graphic Designer,Northampton,"Chorizo, Pepper and Gruyere Quiche",Lemon Meringue Tarts,1,IN
Holly,Bell,2,2,31,Advertising executive,Leicester,Pesto Quiche,Milk Chocolate and Pistachio Tarts Trifle Tarts,4,IN
Ian,Vallance,2,2,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire","Stilton, Spinach and New Potato Quiche with Paprika and Walnut Pastry",NA,2,IN
Janet,Basu,2,2,63,Teacher of Modern Languages,"Formby, Liverpool",Quiche Printanière,Red Fruit Tarts Chocolate and Cherry Tarts,8,IN
Jason,White,2,2,19,Civil Engineering Student,Croydon,Salmon and Pak Choi Quiche,Mint Chocolate Tarts Blueberry Bakewell Tarts,3,STAR BAKER
Joanne,Wheatley,2,2,41,Housewife,"Ongar, Essex","Caramelised Onion, Gruyere and Thyme Quiche",Raspberry and Mascarpone Tarts with Lemon and Almond Pastry Honey and Almond Tarts with Sweetcrust,10,IN
Mary-Anne,Boermans,2,2,45,Housewife,"Kidderminster, Worcestershire","Roasted Cauliflower, Cheese and Caramelised Onion Quiche",Butterscotch Brulée Tarts in Pecan Pastry Apple Rose Tarts,9,IN
Robert,Billington,2,2,25,Photographer,London,Smoked Bacon and Kale Quiche,"Chocolate, Fennel and Ginger Tart Almond, Creme Patissiere and Poached Pear Tart",5,IN
Simon,Blackwell,2,2,31,Rugby Coach,Norfolk,Smoked Haddock and Watercress Quiche,"Passion Fruit and Ricotta Tarts Salted Chocolate, Stem Ginger and Mascarpone Cream Tarts",11,OUT
Urvashi,Roe,2,2,40,Head of Marketing,"Enfield, London","Crab, Coriander and Coconut Quiche",Strawberry and Basil Tarts Elderflower and Honeycomb Tarts,7,IN
Yasmin,Limbert,2,2,43,Childminder,"West Kirby, The Wirral",Smoked Haddock and Watercress Quiche,Chocolate and Orange with Cinnamon-Orange Pastry Tarts Blueberry and Hazelnut with Hazelnut Pastry Tarts,6,IN
Ben,Frazer,2,3,31,Graphic Designer,Northampton,"Walnut, Raisin and Rosemary Loaf",NA,3,IN
Holly,Bell,2,3,31,Advertising executive,Leicester,Picnic Loaf,Stilton and Walnut Rolls,6,IN
Ian,Vallance,2,3,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire","Courgette, Caerphilly Cheese and Thyme Loaf",Walnut and Raisin Rolls Cracked Wheat Logs,10,OUT
Janet,Basu,2,3,63,Teacher of Modern Languages,"Formby, Liverpool",Zupfe Loaf with Gruyère Cheese,Apple and Walnut Granary Rolls Red Onion Cottage Rolls,8,IN
Jason,White,2,3,19,Civil Engineering Student,Croydon,Cheese and Onion Tear and Share Loaf,NA,7,IN
Joanne,Wheatley,2,3,41,Housewife,"Ongar, Essex","Stromboli flavored with Mozzarella, Ham, and Picante Pepper",NA,1,IN
Mary-Anne,Boermans,2,3,45,Housewife,"Kidderminster, Worcestershire",Ploughman's Loaf,Herb and Walnut Breads Chocolate and Chilli Buns,5,IN
Robert,Billington,2,3,25,Photographer,London,Rye and Coriander Seed Loaf,Blueberry Brioche Rolls Lemon and Poppy Seed Rolls,4,IN
Urvashi,Roe,2,3,40,Head of Marketing,"Enfield, London",Salt and Peppercorn Loaf,Chilli and Halloumi Rolls Lemon and Coriander Mini Loaves,9,OUT
Yasmin,Limbert,2,3,43,Childminder,"West Kirby, The Wirral",Egyptian Dukkah Loaf with Mixed Spices,Pesto Bread Sweet Coconut Rolls,2,STAR BAKER
Ben,Frazer,2,4,31,Graphic Designer,Northampton,Stem Ginger Nuts,Chocolate and Almond Macarons Pine Nut Macarons Pistachio Macarons,5,OUT
Holly,Bell,2,4,31,Advertising executive,Leicester,Strawberry and Custard Melts,"'Chocolate bars of my youth' (Caramel Macarons, Mint Chocolate Macarons and Chocolate Orange Macarons)",3,STAR BAKER
Janet,Basu,2,4,63,Teacher of Modern Languages,"Formby, Liverpool",Christmas Marzipan Biscuits,Raspberry Macarons Blackcurrant Macarons Almond Macarons,4,IN
Jason,White,2,4,19,Civil Engineering Student,Croydon,Lebkuchen,"Mocktail Macarons (Mojito, Cranberry Cooler, and Pina Colada)",1,STAR BAKER
Joanne,Wheatley,2,4,41,Housewife,"Ongar, Essex",Lavender Biscuits,Blueberry Macarons Coconut Macarons Strawberry Macarons,8,IN
Mary-Anne,Boermans,2,4,45,Housewife,"Kidderminster, Worcestershire",Melting Moments,Blackcurrant and Mint Macarons Gooseberry and Elderflower Macarons Hazelnut Macarons,2,IN
Robert,Billington,2,4,25,Photographer,London,Chocolate and Ginger Oat Biscuits,Strawberry and Lime Macarons Lemon Macarons Chocolate and Cardamom Macarons,7,IN
Yasmin,Limbert,2,4,43,Childminder,"West Kirby, The Wirral",Chocolate Chip and Pistachio Biscotti,Chocolate and Lime Macarons Coffee and Walnut Macarons Pineapple and Coconut Macarons,6,IN
Holly,Bell,2,5,31,Advertising executive,Leicester,"Stilton, Potato and Caramelised Onion Pie",Lime Meringue Pie,4,IN
Janet,Basu,2,5,63,Teacher of Modern Languages,"Formby, Liverpool",Chicken and Chestnut Pie,Rhubarb Meringue Pie,1,STAR BAKER
Jason,White,2,5,19,Civil Engineering Student,Croydon,Brown Down Chicken Pie,Plum Meringue Pie,7,OUT
Joanne,Wheatley,2,5,41,Housewife,"Ongar, Essex",Salmon and Asparagus Pie,Apple and Raspberry Meringue Pie,6,IN
Mary-Anne,Boermans,2,5,45,Housewife,"Kidderminster, Worcestershire",Chicken and Bacon Pie,Midnight Meringue,2,IN
Robert,Billington,2,5,25,Photographer,London,Chicken and Mushroom Pie,Rhubarb and Custard Meringue Pie,3,OUT
Yasmin,Limbert,2,5,43,Childminder,"West Kirby, The Wirral",Family Fish Pie,Peach and Raspberry Meringue Pie,5,IN
Holly,Bell,2,6,31,Advertising executive,Leicester,Father Christmas' Baked Cheesecake,Hansel and Gretel's Croquembouche,3,IN
Janet,Basu,2,6,63,Teacher of Modern Languages,"Formby, Liverpool",Rhubarb and Ginger Baked Cheesecake,Orange and Nougatine Croquembouche,5,IN
Joanne,Wheatley,2,6,41,Housewife,"Ongar, Essex",Rum and Raisin Baked Cheesecake,Limoncello and White Chocolate Croquembouche,1,STAR BAKER
Mary-Anne,Boermans,2,6,45,Housewife,"Kidderminster, Worcestershire",Tutti Fruitti Curd Baked Cheesecake,Orange and Praline Croquembouche with Cardamom Caramel,4,IN
Yasmin,Limbert,2,6,43,Childminder,"West Kirby, The Wirral",Baked Amaretto Cheesecake,Rose Croquembouche,2,OUT
